Order Number,Year,Month,Day,Product Number,Product Name,Count,Extra Col1,Extra Col2,Empty Column
1089,2008,12,12,P-10090,potatoes,900,Lorem,Ipsum,
1090,2008,12,12,P-10091,capsicum ,"5,250.70",Lorem,Ipsum,
1091,2008,12,12,P-10092,Arugola,502,Lorem,Ipsum,
1092,2008,12,12,P-10093,Iceberg lettuce,"3,902.00",Lorem,Ipsum,
1093,2008,12,12,P-10094,zuccini ,"99,011.00",Lorem,Ipsum,
1094,2008,12,12,P-10095,cilantro,"6,150.00",Lorem,Ipsum,
1095,2008,12,12,P-10096,tomatoes,"3,901.00",Lorem,Ipsum,
1096,2008,12,12,P-10097,potatoes,"99,010.00",Lorem,Ipsum,
1097,2008,12,12,P-10098,capsicum ,"1,850.00",Lorem,Ipsum,
1098,2008,12,12,P-10099,Arugola,"4,000.00",Lorem,Ipsum,
1099,2008,12,12,P-10100,Iceberg lettuce,900,Lorem,Ipsum,
1100,2008,12,12,P-10101,zuccini ,"5,250.70",Lorem,Ipsum,
1101,2008,12,12,P-10102,cilantro,502,Lorem,Ipsum,
1102,2008,12,12,P-10103,tomatoes,"3,902.00",Lorem,Ipsum,
1103,2008,12,12,P-10104,potatoes,"99,011.00",Lorem,Ipsum,
1104,2008,12,12,P-10105,capsicum ,"6,150.00",Lorem,Ipsum,
1105,2008,12,12,P-10106,Arugola,"5,250.50",Lorem,Ipsum,
1106,2008,12,12,P-10107,Iceberg lettuce,500,Lorem,Ipsum,
1107,2008,12,12,P-10108,zuccini ,"3,900.00",Lorem,Ipsum,
1108,2008,12,12,P-10109,cilantro,"99,009.00",Lorem,Ipsum,
1109,2008,12,12,P-10110,tomatoes,"2,450.00",Lorem,Ipsum,
1110,2008,12,12,P-10111,potatoes,300,Lorem,Ipsum,
1111,2008,12,12,P-10112,capsicum ,409,Lorem,Ipsum,
1112,2008,12,12,P-10113,Arugola,"5,250.60",Lorem,Ipsum,
1113,2008,12,12,P-10114,Iceberg lettuce,501,Lorem,Ipsum,
1114,2008,12,12,P-10115,zuccini ,"3,901.00",Lorem,Ipsum,
1115,2008,12,12,P-10116,cilantro,"99,010.00",Lorem,Ipsum,
1116,2008,12,12,P-10117,tomatoes,"1,850.00",Lorem,Ipsum,
1117,2008,12,12,P-10118,potatoes,"4,000.00",Lorem,Ipsum,
1118,2008,12,12,P-10119,capsicum ,900,Lorem,Ipsum,
1119,2008,12,12,P-10120,Arugola,"5,250.70",Lorem,Ipsum,
1120,2008,12,12,P-10121,Iceberg lettuce,502,Lorem,Ipsum,
1121,2008,12,12,P-10122,zuccini ,"3,902.00",Lorem,Ipsum,
1122,2008,12,12,P-10123,cilantro,"99,011.00",Lorem,Ipsum,
1123,2008,12,12,P-10124,tomatoes,"6,150.00",Lorem,Ipsum,
1124,2008,12,12,P-10125,potatoes,"5,250.50",Lorem,Ipsum,
1125,2008,12,12,P-10126,capsicum ,500,Lorem,Ipsum,
1126,2008,12,12,P-10127,Arugola,"3,900.00",Lorem,Ipsum,
1127,2008,12,12,P-10128,Iceberg lettuce,"99,009.00",Lorem,Ipsum,
1128,2008,12,12,P-10129,zuccini ,"2,450.00",Lorem,Ipsum,
1129,2008,12,12,P-10130,cilantro,300,Lorem,Ipsum,
1130,2008,12,12,P-10131,tomatoes,409,Lorem,Ipsum,
1131,2008,12,12,P-10132,potatoes,"5,250.60",Lorem,Ipsum,
1132,2008,12,12,P-10133,capsicum ,501,Lorem,Ipsum,
1133,2008,12,12,P-10134,Arugola,"3,901.00",Lorem,Ipsum,
1134,2008,12,12,P-10135,Iceberg lettuce,"99,010.00",Lorem,Ipsum,
1135,2008,12,12,P-10136,zuccini ,"1,850.00",Lorem,Ipsum,
1136,2008,12,12,P-10137,cilantro,"4,000.00",Lorem,Ipsum,
1137,2008,12,12,P-10138,tomatoes,900,Lorem,Ipsum,
1138,2008,12,12,P-10139,potatoes,"5,250.70",Lorem,Ipsum,
1139,2008,12,12,P-10140,capsicum ,502,Lorem,Ipsum,
1140,2008,12,12,P-10141,Arugola,"3,902.00",Lorem,Ipsum,
1141,2008,12,12,P-10142,Iceberg lettuce,"99,011.00",Lorem,Ipsum,
1142,2008,12,12,P-10143,zuccini ,"6,150.00",Lorem,Ipsum,
1143,2008,12,12,P-10144,cilantro,"3,901.00",Lorem,Ipsum,
1144,2008,12,12,P-10145,tomatoes,"99,010.00",Lorem,Ipsum,
1145,2008,12,12,P-10146,potatoes,"1,850.00",Lorem,Ipsum,
1146,2008,12,12,P-10147,capsicum ,"4,000.00",Lorem,Ipsum,
1147,2008,12,12,P-10148,Arugola,900,Lorem,Ipsum,
1148,2008,12,12,P-10149,Iceberg lettuce,"5,250.70",Lorem,Ipsum,
1149,2008,12,12,P-10150,zuccini ,502,Lorem,Ipsum,
1150,2008,12,12,P-10151,cilantro,"3,902.00",Lorem,Ipsum,
1151,2008,12,12,P-10152,tomatoes,"99,011.00",Lorem,Ipsum,
1152,2008,12,12,P-10153,potatoes,"6,150.00",Lorem,Ipsum,
1153,2008,12,12,P-10154,capsicum ,"5,250.50",Lorem,Ipsum,
1154,2008,12,12,P-10155,Arugola,500,Lorem,Ipsum,
1155,2008,12,12,P-10156,Iceberg lettuce,"3,900.00",Lorem,Ipsum,
1156,2008,12,12,P-10157,zuccini ,"99,009.00",Lorem,Ipsum,
1157,2008,12,12,P-10158,cilantro,"2,450.00",Lorem,Ipsum,
1158,2008,12,12,P-10159,tomatoes,300,Lorem,Ipsum,
1159,2008,12,12,P-10160,potatoes,409,Lorem,Ipsum,
1160,2008,12,12,P-10161,capsicum ,"5,250.60",Lorem,Ipsum,
1161,2008,12,12,P-10162,Arugola,501,Lorem,Ipsum,
1162,2008,12,12,P-10163,Iceberg lettuce,"3,901.00",Lorem,Ipsum,
1163,2008,12,12,P-10164,zuccini ,"99,010.00",Lorem,Ipsum,
1164,2008,12,12,P-10165,cilantro,"1,850.00",Lorem,Ipsum,
1165,2008,12,12,P-10166,tomatoes,"4,000.00",Lorem,Ipsum,
1166,2008,12,12,P-10167,potatoes,900,Lorem,Ipsum,
1167,2008,12,12,P-10168,capsicum ,"5,250.70",Lorem,Ipsum,
1168,2008,12,12,P-10169,Arugola,502,Lorem,Ipsum,
1169,2008,12,12,P-10170,Iceberg lettuce,"3,902.00",Lorem,Ipsum,
1170,2008,12,12,P-10171,zuccini ,"99,011.00",Lorem,Ipsum,
1171,2008,12,12,P-10172,cilantro,"6,150.00",Lorem,Ipsum,
1172,2008,12,12,P-10173,tomatoes,"5,250.70",Lorem,Ipsum,
1173,2008,12,12,P-10174,potatoes,502,Lorem,Ipsum,
1174,2008,12,12,P-10175,capsicum ,"3,902.00",Lorem,Ipsum,
1175,2008,12,12,P-10176,Arugola,"99,011.00",Lorem,Ipsum,
1176,2008,12,12,P-10177,Iceberg lettuce,"6,150.00",Lorem,Ipsum,
1177,2008,12,12,P-10178,zuccini ,"20,186.90",Lorem,Ipsum,
1178,2008,12,12,P-10179,cilantro,"20,204.23",Lorem,Ipsum,
1179,2008,12,12,P-10180,tomatoes,"20,221.55",Lorem,Ipsum,
1180,2008,12,12,P-10181,potatoes,"20,238.88",Lorem,Ipsum,
1181,2008,12,12,P-10182,capsicum ,"20,256.20",Lorem,Ipsum,
1182,2008,12,12,P-10183,Arugola,"20,273.53",Lorem,Ipsum,
1183,2008,12,12,P-10184,Iceberg lettuce,"20,290.86",Lorem,Ipsum,
1184,2008,12,12,P-10185,zuccini ,"20,308.18",Lorem,Ipsum,
1185,2008,12,12,P-10186,cilantro,"20,325.51",Lorem,Ipsum,
1186,2008,12,12,P-10187,tomatoes,"20,342.84",Lorem,Ipsum,
1187,2008,12,12,P-10188,potatoes,"20,360.16",Lorem,Ipsum,
1188,2008,12,12,P-10189,capsicum ,"20,377.49",Lorem,Ipsum,
1189,2008,12,12,P-10190,Arugola,"20,394.81",Lorem,Ipsum,
1190,2008,12,12,P-10191,Iceberg lettuce,"20,412.14",Lorem,Ipsum,
1191,2008,12,12,P-10192,zuccini ,"20,429.47",Lorem,Ipsum,
1192,2008,12,12,P-10193,cilantro,"20,446.79",Lorem,Ipsum,
1193,2008,12,12,P-10194,tomatoes,"20,464.12",Lorem,Ipsum,
1194,2008,12,12,P-10195,potatoes,"20,481.44",Lorem,Ipsum,
1195,2008,12,12,P-10196,capsicum ,"20,498.77",Lorem,Ipsum,
1196,2008,12,12,P-10197,Arugola,"20,516.10",Lorem,Ipsum,
1197,2008,12,12,P-10198,Iceberg lettuce,"20,533.42",Lorem,Ipsum,
1198,2008,12,12,P-10199,zuccini ,"20,550.75",Lorem,Ipsum,
1199,2008,12,12,P-10200,cilantro,"20,568.07",Lorem,Ipsum,
1200,2008,12,12,P-10201,tomatoes,"20,585.40",Lorem,Ipsum,
1201,2008,12,12,P-10202,potatoes,"20,602.73",Lorem,Ipsum,
1202,2008,12,12,P-10203,capsicum ,"20,620.05",Lorem,Ipsum,
1203,2008,12,12,P-10204,Arugola,"20,637.38",Lorem,Ipsum,
1204,2008,12,12,P-10205,Iceberg lettuce,"20,654.71",Lorem,Ipsum,
1205,2008,12,12,P-10206,zuccini ,"20,672.03",Lorem,Ipsum,
1206,2008,12,12,P-10207,cilantro,"20,689.36",Lorem,Ipsum,
1207,2008,12,12,P-10208,tomatoes,"20,706.68",Lorem,Ipsum,
1208,2008,12,12,P-10209,potatoes,"20,724.01",Lorem,Ipsum,
1209,2008,12,12,P-10210,capsicum ,"20,741.34",Lorem,Ipsum,
1210,2008,12,12,P-10211,Arugola,"20,758.66",Lorem,Ipsum,
1211,2008,12,12,P-10212,Iceberg lettuce,"20,775.99",Lorem,Ipsum,
1212,2008,12,12,P-10213,zuccini ,"20,793.31",Lorem,Ipsum,
1213,2008,12,12,P-10214,cilantro,"20,810.64",Lorem,Ipsum,
1214,2008,12,12,P-10215,tomatoes,"20,827.97",Lorem,Ipsum,
1215,2008,12,12,P-10216,potatoes,"20,845.29",Lorem,Ipsum,
1216,2008,12,12,P-10217,capsicum ,"20,862.62",Lorem,Ipsum,
1217,2008,12,12,P-10218,Arugola,"20,879.94",Lorem,Ipsum,
1218,2008,12,12,P-10219,Iceberg lettuce,"20,897.27",Lorem,Ipsum,
1219,2008,12,12,P-10220,zuccini ,"20,914.60",Lorem,Ipsum,
1220,2008,12,12,P-10221,cilantro,"20,931.92",Lorem,Ipsum,
1221,2008,12,12,P-10222,tomatoes,"20,949.25",Lorem,Ipsum,
1222,2008,12,12,P-10223,potatoes,"20,966.57",Lorem,Ipsum,
1223,2008,12,12,P-10224,capsicum ,"20,983.90",Lorem,Ipsum,
1224,2008,12,12,P-10225,Arugola,"21,001.23",Lorem,Ipsum,
1225,2008,12,12,P-10226,Iceberg lettuce,"21,018.55",Lorem,Ipsum,
1226,2008,12,12,P-10227,zuccini ,"21,035.88",Lorem,Ipsum,
1227,2008,12,12,P-10228,cilantro,"21,053.21",Lorem,Ipsum,
1228,2008,12,12,P-10229,tomatoes,"21,070.53",Lorem,Ipsum,
1229,2008,12,12,P-10230,potatoes,"21,087.86",Lorem,Ipsum,
1230,2008,12,12,P-10231,capsicum ,"21,105.18",Lorem,Ipsum,
1231,2008,12,12,P-10232,Arugola,"21,122.51",Lorem,Ipsum,
1232,2008,12,12,P-10233,Iceberg lettuce,"21,139.84",Lorem,Ipsum,
1233,2008,12,12,P-10234,zuccini ,"21,157.16",Lorem,Ipsum,
1234,2008,12,12,P-10235,cilantro,"21,174.49",Lorem,Ipsum,
1235,2008,12,12,P-10236,tomatoes,"21,191.81",Lorem,Ipsum,
1236,2008,12,12,P-10237,potatoes,"21,209.14",Lorem,Ipsum,
1237,2008,12,12,P-10238,capsicum ,"21,226.47",Lorem,Ipsum,
1238,2008,12,12,P-10239,Arugola,"21,243.79",Lorem,Ipsum,
1239,2008,12,12,P-10240,Iceberg lettuce,"21,261.12",Lorem,Ipsum,
1240,2008,12,12,P-10241,zuccini ,"21,278.44",Lorem,Ipsum,
1241,2008,12,12,P-10242,cilantro,"21,295.77",Lorem,Ipsum,
1242,2008,12,12,P-10243,tomatoes,"21,313.10",Lorem,Ipsum,
1243,2008,12,12,P-10244,potatoes,"21,330.42",Lorem,Ipsum,
1244,2008,12,12,P-10245,capsicum ,"21,347.75",Lorem,Ipsum,
1245,2008,12,12,P-10246,Arugola,"21,365.07",Lorem,Ipsum,
1246,2008,12,12,P-10247,Iceberg lettuce,"21,382.40",Lorem,Ipsum,
1247,2008,12,12,P-10248,zuccini ,"21,399.73",Lorem,Ipsum,
1248,2008,12,12,P-10249,cilantro,"21,417.05",Lorem,Ipsum,
1249,2008,12,12,P-10250,tomatoes,"21,434.38",Lorem,Ipsum,
1250,2008,12,12,P-10251,potatoes,"21,451.71",Lorem,Ipsum,
1251,2008,12,12,P-10252,capsicum ,"21,469.03",Lorem,Ipsum,
1252,2008,12,12,P-10253,Arugola,"21,486.36",Lorem,Ipsum,
1253,2008,12,12,P-10254,Iceberg lettuce,"21,503.68",Lorem,Ipsum,
1254,2008,12,12,P-10255,zuccini ,"21,521.01",Lorem,Ipsum,
1255,2008,12,12,P-10256,cilantro,"21,538.34",Lorem,Ipsum,
1256,2008,12,12,P-10257,tomatoes,"21,555.66",Lorem,Ipsum,
1257,2008,12,12,P-10258,potatoes,"21,572.99",Lorem,Ipsum,
1258,2008,12,12,P-10259,capsicum ,"21,590.31",Lorem,Ipsum,
1259,2008,12,12,P-10260,Arugola,"21,607.64",Lorem,Ipsum,
1260,2008,12,12,P-10261,Iceberg lettuce,"21,624.97",Lorem,Ipsum,
1261,2008,12,12,P-10262,zuccini ,"21,642.29",Lorem,Ipsum,
1262,2008,12,12,P-10263,cilantro,"21,659.62",Lorem,Ipsum,
1263,2008,12,12,P-10264,tomatoes,"21,676.94",Lorem,Ipsum,
1264,2008,12,12,P-10265,potatoes,"21,694.27",Lorem,Ipsum,
1265,2008,12,12,P-10266,capsicum ,"21,711.60",Lorem,Ipsum,
1266,2008,12,12,P-10267,Arugola,"21,728.92",Lorem,Ipsum,
1267,2008,12,12,P-10268,Iceberg lettuce,"21,746.25",Lorem,Ipsum,
1268,2008,12,12,P-10269,zuccini ,"21,763.57",Lorem,Ipsum,
1269,2008,12,12,P-10270,cilantro,"21,780.90",Lorem,Ipsum,
1270,2008,12,12,P-10271,tomatoes,"21,798.23",Lorem,Ipsum,
1271,2008,12,12,P-10272,potatoes,"21,815.55",Lorem,Ipsum,
1272,2008,12,12,P-10273,capsicum ,"21,832.88",Lorem,Ipsum,
1273,2008,12,12,P-10274,Arugola,"21,850.21",Lorem,Ipsum,
1274,2008,12,12,P-10275,Iceberg lettuce,"21,867.53",Lorem,Ipsum,
1275,2008,12,12,P-10276,zuccini ,"21,884.86",Lorem,Ipsum,
1276,2008,12,12,P-10277,cilantro,"21,902.18",Lorem,Ipsum,
1277,2008,12,12,P-10278,tomatoes,"21,919.51",Lorem,Ipsum,
1278,2008,12,12,P-10279,potatoes,"21,936.84",Lorem,Ipsum,
1279,2008,12,12,P-10280,capsicum ,"21,954.16",Lorem,Ipsum,
1280,2008,12,12,P-10281,Arugola,"21,971.49",Lorem,Ipsum,
1281,2008,12,12,P-10282,Iceberg lettuce,"21,988.81",Lorem,Ipsum,
1282,2008,12,12,P-10283,zuccini ,"22,006.14",Lorem,Ipsum,
1283,2008,12,12,P-10284,cilantro,"22,023.47",Lorem,Ipsum,
1284,2008,12,12,P-10285,tomatoes,"22,040.79",Lorem,Ipsum,
1285,2008,12,12,P-10286,potatoes,"22,058.12",Lorem,Ipsum,
1286,2008,12,12,P-10287,capsicum ,"22,075.44",Lorem,Ipsum,
1287,2008,12,12,P-10288,Arugola,"22,092.77",Lorem,Ipsum,
1288,2008,12,12,P-10289,Iceberg lettuce,"22,110.10",Lorem,Ipsum,
1289,2008,12,12,P-10290,zuccini ,"22,127.42",Lorem,Ipsum,
1290,2008,12,12,P-10291,cilantro,"22,144.75",Lorem,Ipsum,
1291,2008,12,12,P-10292,tomatoes,"22,162.07",Lorem,Ipsum,
1292,2008,12,12,P-10293,potatoes,"22,179.40",Lorem,Ipsum,
1293,2008,12,12,P-10294,capsicum ,"22,196.73",Lorem,Ipsum,
1294,2008,12,12,P-10295,Arugola,"22,214.05",Lorem,Ipsum,
1295,2008,12,12,P-10296,Iceberg lettuce,"22,231.38",Lorem,Ipsum,
1296,2008,12,12,P-10297,zuccini ,"22,248.71",Lorem,Ipsum,
1297,2008,12,12,P-10298,cilantro,"22,266.03",Lorem,Ipsum,
1298,2008,12,12,P-10299,tomatoes,"22,283.36",Lorem,Ipsum,
1299,2008,12,12,P-10300,potatoes,"22,300.68",Lorem,Ipsum,
1300,2008,12,12,P-10301,capsicum ,"22,318.01",Lorem,Ipsum,
1301,2008,12,12,P-10302,Arugola,"22,335.34",Lorem,Ipsum,
1302,2008,12,12,P-10303,Iceberg lettuce,"22,352.66",Lorem,Ipsum,
1303,2008,12,12,P-10304,zuccini ,"22,369.99",Lorem,Ipsum,
1304,2008,12,12,P-10305,cilantro,"22,387.31",Lorem,Ipsum,
1305,2008,12,12,P-10306,tomatoes,"22,404.64",Lorem,Ipsum,
1306,2008,12,12,P-10307,potatoes,"22,421.97",Lorem,Ipsum,
1307,2008,12,12,P-10308,capsicum ,"22,439.29",Lorem,Ipsum,
1308,2008,12,12,P-10309,Arugola,"22,456.62",Lorem,Ipsum,
1309,2008,12,12,P-10310,Iceberg lettuce,"22,473.94",Lorem,Ipsum,
1310,2008,12,12,P-10311,zuccini ,"22,491.27",Lorem,Ipsum,
1311,2008,12,12,P-10312,cilantro,"22,508.60",Lorem,Ipsum,
1312,2008,12,12,P-10313,tomatoes,"22,525.92",Lorem,Ipsum,
1313,2008,12,12,P-10314,potatoes,"22,543.25",Lorem,Ipsum,
1314,2008,12,12,P-10315,capsicum ,"22,560.58",Lorem,Ipsum,
1315,2008,12,12,P-10316,Arugola,"22,577.90",Lorem,Ipsum,
1316,2008,12,12,P-10317,Iceberg lettuce,"22,595.23",Lorem,Ipsum,
1317,2008,12,12,P-10318,zuccini ,"22,612.55",Lorem,Ipsum,
1318,2008,12,12,P-10319,cilantro,"22,629.88",Lorem,Ipsum,
1319,2008,12,12,P-10320,tomatoes,"22,647.21",Lorem,Ipsum,
1320,2008,12,12,P-10321,potatoes,"22,664.53",Lorem,Ipsum,
1321,2008,12,12,P-10322,capsicum ,"22,681.86",Lorem,Ipsum,
1322,2008,12,12,P-10323,Arugola,"22,699.18",Lorem,Ipsum,
1323,2008,12,12,P-10324,Iceberg lettuce,"22,716.51",Lorem,Ipsum,
1324,2008,12,12,P-10325,zuccini ,"22,733.84",Lorem,Ipsum,
1325,2008,12,12,P-10326,cilantro,"22,751.16",Lorem,Ipsum,
1326,2008,12,12,P-10327,tomatoes,"22,768.49",Lorem,Ipsum,
1327,2008,12,12,P-10328,potatoes,"22,785.81",Lorem,Ipsum,
1328,2008,12,12,P-10329,capsicum ,"22,803.14",Lorem,Ipsum,
1329,2008,12,12,P-10330,Arugola,"22,820.47",Lorem,Ipsum,
1330,2008,12,12,P-10331,Iceberg lettuce,"22,837.79",Lorem,Ipsum,
1331,2008,12,12,P-10332,zuccini ,"22,855.12",Lorem,Ipsum,
1332,2008,12,12,P-10333,cilantro,"22,872.44",Lorem,Ipsum,
1333,2008,12,12,P-10334,tomatoes,"22,889.77",Lorem,Ipsum,
1334,2008,12,12,P-10335,potatoes,"22,907.10",Lorem,Ipsum,
1335,2008,12,12,P-10336,capsicum ,"22,924.42",Lorem,Ipsum,
1336,2008,12,12,P-10337,Arugola,"22,941.75",Lorem,Ipsum,
1337,2008,12,12,P-10338,Iceberg lettuce,"22,959.08",Lorem,Ipsum,
1338,2008,12,12,P-10339,zuccini ,"22,976.40",Lorem,Ipsum,
1339,2008,12,12,P-10340,cilantro,"22,993.73",Lorem,Ipsum,
1340,2008,12,12,P-10341,tomatoes,"23,011.05",Lorem,Ipsum,
1341,2008,12,12,P-10342,potatoes,"23,028.38",Lorem,Ipsum,
1342,2008,12,12,P-10343,capsicum ,"23,045.71",Lorem,Ipsum,
1343,2008,12,12,P-10344,Arugola,"23,063.03",Lorem,Ipsum,
1344,2008,12,12,P-10345,Iceberg lettuce,"23,080.36",Lorem,Ipsum,
1345,2008,12,12,P-10346,zuccini ,"23,097.68",Lorem,Ipsum,
1346,2008,12,12,P-10347,cilantro,"23,115.01",Lorem,Ipsum,
1347,2008,12,12,P-10348,tomatoes,"23,132.34",Lorem,Ipsum,
1348,2008,12,12,P-10349,potatoes,"23,149.66",Lorem,Ipsum,
1349,2008,12,12,P-10350,capsicum ,"23,166.99",Lorem,Ipsum,
1350,2008,12,12,P-10351,Arugola,"23,184.31",Lorem,Ipsum,
1351,2008,12,12,P-10352,Iceberg lettuce,"23,201.64",Lorem,Ipsum,
